variable,reference,modalite,cote,ic_bas,ic_haut,significatif,cote_ecrite
Sexe,Homme,Femme,1.573,1.346,1.838,1,1.6
Âge,<35 ans,35-44,0.766,0.62,0.947,1,0.8
Âge,<35 ans,45-54,0.415,0.336,0.513,1,0.4
Âge,<35 ans,>= 55 ans,0.124,0.098,0.157,1,0.1
Catégorie,A+,A,1.532,1.18,1.99,1,1.5
Catégorie,A+,B,1.223,0.912,1.641,0,1.2
Catégorie,A+,C,1.19,0.841,1.684,0,1.2
Encadrement,Non,Oui majo,0.887,0.729,1.079,0,0.9
Encadrement,Non,Oui mino,0.891,0.756,1.051,0,0.9
Versant FP,FPE,FPH,0.84,0.647,1.091,0,0.8
Versant FP,FPE,FPT,0.958,0.794,1.155,0,1.0
Statut,Titulaire ou assimilé,CDD,1.307,0.955,1.79,0,1.3
Statut,Titulaire ou assimilé,CDI,1.005,0.745,1.356,0,1.0
Taille établissement,100 ou moins,100 à 500,0.904,0.718,1.139,0,0.9
Taille établissement,100 ou moins,1000 et plus,0.928,0.739,1.165,0,0.9
Taille établissement,100 ou moins,500 à 1000,0.905,0.662,1.238,0,0.9
Syndicalisme,Ni adhérent·e ni sympathisant·e,Adhérent·e,1.076,0.903,1.283,0,1.1
Syndicalisme,Ni adhérent·e ni sympathisant·e,Sympathisant·e,1.26,1.001,1.587,1,1.3
Equilibre pro-perso,Oui ou plutôt oui,Non ou plutôt non,2.205,1.823,2.667,1,2.2
Télétravail,Jamais,<3j/semaine,1.098,0.918,1.313,0,1.1
Télétravail,Jamais,3j/s et +,1.287,0.882,1.879,0,1.3
Collègues en nombre suffisant,Oui,Non,1.343,1.154,1.562,1,1.3
Fréquence réunions d'équipe,>= 1 fois/mois,< 1 fois/mois,0.99,0.846,1.158,0,1.0
Accompagnement suffisant,Oui,Non,1.507,1.297,1.751,1,1.5
Turnover équipe,Comme il faut,Trop faible,1.126,0.888,1.426,0,1.1
Turnover équipe,Comme il faut,Trop important,1.367,1.147,1.629,1,1.4
Turnover hiérarchie,Comme il faut,Trop faible,1.437,1.17,1.765,1,1.4
Turnover hiérarchie,Comme il faut,Trop important,1.543,1.272,1.871,1,1.5
Aide collègues en cas difficultés,Oui ou plutôt oui,Non ou plutôt non,1.411,1.2,1.657,1,1.4
Aide hiérarchie en cas difficultés,Oui ou plutôt oui,Non ou plutôt non,1.073,0.919,1.252,0,1.1
Partage vision SP collègues,Oui ou plutôt oui,Non ou plutôt non,1.161,0.962,1.402,0,1.2
Partage vision SP hiérarchie,Oui ou plutôt oui,Non ou plutôt non,1.348,1.107,1.64,1,1.3
Désaccord exprimable collègues,Oui ou plutôt oui,Non ou plutôt non,1.16,0.877,1.534,0,1.2
Désaccord exprimable hiérarchie,Oui ou plutôt oui,Non ou plutôt non,1.182,0.981,1.424,0,1.2
Sacrifice qualité travail,Jamais ou parfois,Souvent ou très fréquemment,2.504,2.112,2.969,1,2.5
Développement compétences possible,Tout à fait ou plutôt d'accord,Pas du tout ou plutôt pas d'accord,2.274,1.919,2.693,1,2.3
Possibilité agir pour équité,Oui ou plutôt oui,Non ou plutôt non,1.302,1.119,1.515,1,1.3
Service d'intérêts particuliers,Jamais ou parfois,Souvent ou très fréquemment,1.68,1.418,1.991,1,1.7
A déjà enfreint un ordre hiérarchique,"Non, et je n’en jamais eu l’envie","Non, mais j’en ai déjà eu envie",1.598,1.316,1.941,1,1.6
A déjà enfreint un ordre hiérarchique,"Non, et je n’en jamais eu l’envie",Oui,1.339,1.079,1.66,1,1.3
