famille,palier,hex,palier nomme,oklch
canard,850,#062525,non,oklch(24.1% 0.0357 195.0)
canard,900,#0B1817,oui,oklch(19.6% 0.0179 195.0)
canard,950,#0B0B0B,oui,oklch(15.0% 0.0000 195.0)
prairie,50,#F0F7EF,oui,oklch(97.0% 0.0135 140.0)
prairie,100,#DBECD7,oui,oklch(92.4% 0.0340 140.0)
prairie,150,#BBE5B1,non,oklch(87.9% 0.0828 140.0)
prairie,200,#A5D99A,oui,oklch(83.3% 0.1009 140.0)
prairie,250,#92CC85,non,oklch(78.8% 0.1152 140.0)
prairie,300,#7FBF71,oui,oklch(74.2% 0.1257 140.0)
prairie,350,#6FB160,non,oklch(69.7% 0.1325 140.0)
prairie,400,#5FA350,oui,oklch(65.1% 0.1357 140.0)
prairie,450,#529543,non,oklch(60.6% 0.1354 140.0)
prairie,500,#468737,oui,oklch(56.0% 0.1318 140.0)
prairie,550,#3B782D,non,oklch(51.4% 0.1251 140.0)
prairie,600,#336A26,oui,oklch(46.9% 0.1156 140.0)
prairie,650,#2B5B20,non,oklch(42.3% 0.1036 140.0)
prairie,700,#254D1C,oui,oklch(37.8% 0.0895 140.0)
prairie,750,#1F3F18,non,oklch(33.2% 0.0736 140.0)
prairie,800,#1A3115,oui,oklch(28.7% 0.0563 140.0)
prairie,850,#162412,non,oklch(24.1% 0.0380 140.0)
prairie,900,#10170F,oui,oklch(19.6% 0.0191 140.0)
prairie,950,#0B0B0B,oui,oklch(15.0% 0.0000 140.0)
ambre,50,#FCF3EC,oui,oklch(97.0% 0.0135 65.0)
ambre,100,#F7E2CF,oui,oklch(92.4% 0.0340 65.0)
ambre,150,#FECC9E,non,oklch(87.9% 0.0828 65.0)
ambre,200,#F6BB81,oui,oklch(83.3% 0.1009 65.0)
ambre,250,#EDAA67,non,oklch(78.8% 0.1152 65.0)
ambre,300,#E29A4E,oui,oklch(74.2% 0.1257 65.0)
ambre,350,#D58A37,non,oklch(69.7% 0.1325 65.0)
ambre,400,#C77C1F,oui,oklch(65.1% 0.1357 65.0)
ambre,450,#B86E02,non,oklch(60.6% 0.1354 65.0)
ambre,500,#A66200,oui,oklch(56.0% 0.1256 65.0)
ambre,550,#945700,non,oklch(51.4% 0.1154 65.0)
ambre,600,#824C00,oui,oklch(46.9% 0.1052 65.0)
ambre,650,#714100,non,oklch(42.3% 0.0950 65.0)
ambre,700,#603700,oui,oklch(37.8% 0.0847 65.0)
ambre,750,#4F2D01,non,oklch(33.2% 0.0736 65.0)
ambre,800,#3D2407,oui,oklch(28.7% 0.0563 65.0)
ambre,850,#2C1C0B,non,oklch(24.1% 0.0380 65.0)
ambre,900,#1B130C,oui,oklch(19.6% 0.0191 65.0)
ambre,950,#0B0B0B,oui,oklch(15.0% 0.0000 65.0)
ardoise,50,#F2F6F8,oui,oklch(97.0% 0.0052 235.0)
ardoise,100,#E0E7EB,oui,oklch(92.4% 0.0091 235.0)
ardoise,150,#D0D9DE,non,oklch(87.9% 0.0124 235.0)
ardoise,200,#BFCAD1,oui,oklch(83.3% 0.0151 235.0)
ardoise,250,#B0BCC3,non,oklch(78.8% 0.0173 235.0)
ardoise,300,#A1AEB6,oui,oklch(74.2% 0.0189 235.0)
ardoise,350,#92A0A8,non,oklch(69.7% 0.0199 235.0)
ardoise,400,#84929A,oui,oklch(65.1% 0.0204 235.0)
ardoise,450,#77848C,non,oklch(60.6% 0.0203 235.0)
ardoise,500,#6A777F,oui,oklch(56.0% 0.0198 235.0)
ardoise,550,#5D6971,non,oklch(51.4% 0.0188 235.0)
ardoise,600,#515C63,oui,oklch(46.9% 0.0173 235.0)
ardoise,650,#465055,non,oklch(42.3% 0.0155 235.0)
ardoise,700,#3B4348,oui,oklch(37.8% 0.0134 235.0)
ardoise,750,#31373B,non,oklch(33.2% 0.0110 235.0)
ardoise,800,#272B2E,oui,oklch(28.7% 0.0084 235.0)
ardoise,850,#1D2022,non,oklch(24.1% 0.0057 235.0)
ardoise,900,#141516,oui,oklch(19.6% 0.0029 235.0)
ardoise,950,#0B0B0B,oui,oklch(15.0% 0.0000 235.0)
