"";"v1";"v2";"eff";"total_v2";"pct";"couleur_texte"
"1";"#EBBF95";"<35";"";"";"16,255";""
"2";"#32C2C2";"<35";"";"";"39,690";""
"3";"#007777";"<35";"";"";"42,714";""
"4";"#E0E7EB";"<35";"";"";"1,341";""
"5";"#C24146";"35-44";"";"";"4,810";""
"6";"#EBBF95";"35-44";"";"";"13,838";""
"7";"#32C2C2";"35-44";"";"";"37,589";""
"8";"#007777";"35-44";"";"";"42,288";""
"9";"#E0E7EB";"35-44";"";"";"1,475";""
"10";"#C24146";"45-54";"";"";"6,513";""
"11";"#EBBF95";"45-54";"";"";"15,217";""
"12";"#32C2C2";"45-54";"";"";"35,852";""
"13";"#007777";"45-54";"";"";"40,212";""
"14";"#E0E7EB";"45-54";"";"";"2,207";""
"15";"#C24146";"55+";"";"";"9,155";""
"16";"#EBBF95";"55+";"";"";"20,386";""
"17";"#32C2C2";"55+";"";"";"31,513";""
"18";"#007777";"55+";"";"";"35,769";""
"19";"#E0E7EB";"55+";"";"";"3,177";""
