"";"v1";"v2";"eff";"total_v2";"pct";"couleur_texte"
"1";"#007777";"Oui";"";"";"31,051";""
"2";"#32C2C2";"Oui";"";"";"51,877";""
"3";"#EBBF95";"Oui";"";"";"11,657";""
"4";"#C24146";"Oui";"";"";"2,541";""
"5";"#E0E7EB";"Oui";"";"";"2,874";""
"6";"#007777";"Plutôt oui";"";"";"13,435";""
"7";"#32C2C2";"Plutôt oui";"";"";"56,465";""
"8";"#EBBF95";"Plutôt oui";"";"";"24,925";""
"9";"#C24146";"Plutôt oui";"";"";"5,174";""
"10";"#007777";"Plutôt non";"";"";"3,137";""
"11";"#32C2C2";"Plutôt non";"";"";"32,608";""
"12";"#EBBF95";"Plutôt non";"";"";"43,156";""
"13";"#C24146";"Plutôt non";"";"";"14,496";""
"14";"#E0E7EB";"Plutôt non";"";"";"6,603";""
"15";"#007777";"Non";"";"";"2,548";""
"16";"#32C2C2";"Non";"";"";"19,078";""
"17";"#EBBF95";"Non";"";"";"40,397";""
"18";"#C24146";"Non";"";"";"32,221";""
"19";"#E0E7EB";"Non";"";"";"5,757";""
