item;serie;valeur;couleur
Contacts publics et partenaires extérieurs;FPH;92;#554C9F
Contacts publics et partenaires extérieurs;FPT;88;#83BE76
Contacts publics et partenaires extérieurs;FPE;82;#E08DBC
Missions et tâches à effectuer;FPH;88;#554C9F
Missions et tâches à effectuer;FPT;84;#83BE76
Missions et tâches à effectuer;FPE;80;#E08DBC
Relations collègues;FPH;80;#554C9F
Relations collègues;FPT;80;#83BE76
Relations collègues;FPE;79;#E08DBC
Autonomie au travail;FPH;70;#554C9F
Autonomie au travail;FPT;71;#83BE76
Autonomie au travail;FPE;71;#E08DBC
Rémunération;FPH;35;#554C9F
Rémunération;FPT;38;#83BE76
Rémunération;FPE;37;#E08DBC
Reconnaissance sociale;FPH;36;#554C9F
Reconnaissance sociale;FPT;34;#83BE76
Reconnaissance sociale;FPE;25;#E08DBC
