"";"v1";"v2";"eff";"total_v2";"pct";"couleur_texte"
"1";"#C24146";"FPE";"";"";"7,838";""
"2";"#EBBF95";"FPE";"";"";"19,542";""
"3";"#32C2C2";"FPE";"";"";"36,427";""
"4";"#007777";"FPE";"";"";"33,766";""
"5";"#E0E7EB";"FPE";"";"";"2,426";""
"6";"#C24146";"FPT";"";"";"6,239";""
"7";"#EBBF95";"FPT";"";"";"16,846";""
"8";"#32C2C2";"FPT";"";"";"39,847";""
"9";"#007777";"FPT";"";"";"35,399";""
"10";"#E0E7EB";"FPT";"";"";"1,668";""
"11";"#C24146";"FPH";"";"";"2,538";""
"12";"#EBBF95";"FPH";"";"";"6,690";""
"13";"#32C2C2";"FPH";"";"";"30,531";""
"14";"#007777";"FPH";"";"";"59,486";""
"15";"#E0E7EB";"FPH";"";"";"0,755";""
