"";"v1";"v2";"eff";"total_v2";"pct";"couleur_texte"
"1";"#C24146";"FPE";"";"";"13,687";""
"2";"#DF6263";"FPE";"";"";"21,024";""
"3";"#EBBF95";"FPE";"";"";"38,618";""
"4";"#007777";"FPE";"";"";"20,809";""
"5";"#E0E7EB";"FPE";"";"";"5,862";""
"6";"#C24146";"FPT";"";"";"15,233";""
"7";"#DF6263";"FPT";"";"";"21,699";""
"8";"#EBBF95";"FPT";"";"";"40,854";""
"9";"#007777";"FPT";"";"";"18,336";""
"10";"#E0E7EB";"FPT";"";"";"3,878";""
"11";"#C24146";"FPH";"";"";"18,796";""
"12";"#DF6263";"FPH";"";"";"22,827";""
"13";"#EBBF95";"FPH";"";"";"36,891";""
"14";"#007777";"FPH";"";"";"18,224";""
"15";"#E0E7EB";"FPH";"";"";"3,262";""
