"";"v1";"v2";"eff";"total_v2";"pct";"couleur_texte"
"1";"#007777";"Oui tâche principale";"";"";"9,333";""
"2";"#32C2C2";"Oui tâche principale";"";"";"21,243";""
"3";"#EBBF95";"Oui tâche principale";"";"";"32,265";""
"4";"#C24146";"Oui tâche principale";"";"";"29,941";""
"5";"#E0E7EB";"Oui tâche principale";"";"";"7,218";""
"6";"#007777";"Oui tâche secondaire";"";"";"5,609";""
"7";"#32C2C2";"Oui tâche secondaire";"";"";"13,485";""
"8";"#EBBF95";"Oui tâche secondaire";"";"";"32,508";""
"9";"#C24146";"Oui tâche secondaire";"";"";"41,979";""
"10";"#E0E7EB";"Oui tâche secondaire";"";"";"6,418";""
"11";"#007777";"Non";"";"";"4,490";""
"12";"#32C2C2";"Non";"";"";"11,016";""
"13";"#EBBF95";"Non";"";"";"27,258";""
"14";"#C24146";"Non";"";"";"47,224";""
"15";"#E0E7EB";"Non";"";"";"10,012";""
