item;serie;valeur;couleur
;FPH;35;#554C9F
;FPT;36;#83BE76
;FPE;30;#E08DBC
;FPH;30;#554C9F
;FPT;28;#83BE76
;FPE;27;#E08DBC
;FPH;20;#554C9F
;FPT;23;#83BE76
;FPE;21;#E08DBC
;FPH;16;#554C9F
;FPT;21;#83BE76
;FPE;23;#E08DBC
;FPH;11;#554C9F
;FPT;13;#83BE76
;FPE;9;#E08DBC
