"";"v1";"v2";"eff";"total_v2";"pct";"couleur_texte"
"1";"#C24146";"Oui tâche principale";"";"";"4,619";""
"2";"#DF6263";"Oui tâche principale";"";"";"7,918";""
"3";"#EBBF95";"Oui tâche principale";"";"";"29,568";""
"4";"#007777";"Oui tâche principale";"";"";"56,785";""
"5";"#E0E7EB";"Oui tâche principale";"";"";"1,111";""
"6";"#DF6263";"Oui tâche secondaire";"";"";"10,992";""
"7";"#EBBF95";"Oui tâche secondaire";"";"";"33,429";""
"8";"#007777";"Oui tâche secondaire";"";"";"54,170";""
"9";"#E0E7EB";"Oui tâche secondaire";"";"";"1,409";""
"10";"#C24146";"Non";"";"";"8,002";""
"11";"#DF6263";"Non";"";"";"11,538";""
"12";"#EBBF95";"Non";"";"";"34,045";""
"13";"#007777";"Non";"";"";"44,843";""
"14";"#E0E7EB";"Non";"";"";"1,571";""
