"";"v1";"v2";"eff";"total_v2";"pct";"couleur_texte"
"1";"#C24146";"<35";"";"";"11,391";""
"2";"#DF6263";"<35";"";"";"22,573";""
"3";"#EBBF95";"<35";"";"";"48,906";""
"4";"#007777";"<35";"";"";"14,892";""
"5";"#E0E7EB";"<35";"";"";"2,238";""
"6";"#C24146";"35-44";"";"";"12,236";""
"7";"#DF6263";"35-44";"";"";"22,580";""
"8";"#EBBF95";"35-44";"";"";"49,441";""
"9";"#007777";"35-44";"";"";"14,603";""
"10";"#E0E7EB";"35-44";"";"";"1,141";""
"11";"#C24146";"45-54";"";"";"10,099";""
"12";"#DF6263";"45-54";"";"";"22,414";""
"13";"#EBBF95";"45-54";"";"";"48,892";""
"14";"#007777";"45-54";"";"";"16,884";""
"15";"#E0E7EB";"45-54";"";"";"1,711";""
"16";"#C24146";"55+";"";"";"9,970";""
"17";"#DF6263";"55+";"";"";"19,059";""
"18";"#EBBF95";"55+";"";"";"47,704";""
"19";"#007777";"55+";"";"";"21,325";""
"20";"#E0E7EB";"55+";"";"";"1,942";""
