item;serie;valeur;couleur
Mesurer le temps de travail;5000 et plus;27;#0B4862
Mesurer le temps de travail;500 à 5000;29;#107098
Mesurer le temps de travail;100 à 500;26;#3C9AC8
Mesurer le temps de travail;100 ou moins;20;#7AC4EC
Évaluer le travail individuel;5000 et plus;21;#0B4862
Évaluer le travail individuel;500 à 5000;21;#107098
Évaluer le travail individuel;100 à 500;19;#3C9AC8
Évaluer le travail individuel;100 ou moins;13;#7AC4EC
Organiser les mobilités professionnelles;5000 et plus;20;#0B4862
Organiser les mobilités professionnelles;500 à 5000;17;#107098
Organiser les mobilités professionnelles;100 à 500;13;#3C9AC8
Organiser les mobilités professionnelles;100 ou moins;11;#7AC4EC
