"";"v1";"v2";"eff";"total_v2";"pct";"couleur_texte"
"1";"#007777";"Oui";"";"";"15,681";""
"2";"#32C2C2";"Oui";"";"";"41,122";""
"3";"#EBBF95";"Oui";"";"";"26,836";""
"4";"#C24146";"Oui";"";"";"11,701";""
"5";"#E0E7EB";"Oui";"";"";"4,660";""
"6";"#007777";"Plutôt oui";"";"";"10,742";""
"7";"#32C2C2";"Plutôt oui";"";"";"48,166";""
"8";"#EBBF95";"Plutôt oui";"";"";"31,555";""
"9";"#C24146";"Plutôt oui";"";"";"9,537";""
"10";"#007777";"Plutôt non";"";"";"5,744";""
"11";"#32C2C2";"Plutôt non";"";"";"37,212";""
"12";"#EBBF95";"Plutôt non";"";"";"35,761";""
"13";"#C24146";"Plutôt non";"";"";"14,662";""
"14";"#E0E7EB";"Plutôt non";"";"";"6,621";""
"15";"#007777";"Non";"";"";"7,975";""
"16";"#32C2C2";"Non";"";"";"20,776";""
"17";"#EBBF95";"Non";"";"";"32,950";""
"18";"#C24146";"Non";"";"";"31,374";""
"19";"#E0E7EB";"Non";"";"";"6,925";""
