"";"v1";"v2";"eff";"total_v2";"pct";"couleur_texte"
"1";"#C24146";"FPE";"";"";"8,677";""
"2";"#DF6263";"FPE";"";"";"19,187";""
"3";"#EBBF95";"FPE";"";"";"49,383";""
"4";"#007777";"FPE";"";"";"20,718";""
"5";"#E0E7EB";"FPE";"";"";"2,036";""
"6";"#C24146";"FPT";"";"";"10,300";""
"7";"#DF6263";"FPT";"";"";"20,377";""
"8";"#EBBF95";"FPT";"";"";"50,051";""
"9";"#007777";"FPT";"";"";"17,201";""
"10";"#E0E7EB";"FPT";"";"";"2,072";""
"11";"#C24146";"FPH";"";"";"14,908";""
"12";"#DF6263";"FPH";"";"";"25,830";""
"13";"#EBBF95";"FPH";"";"";"48,578";""
"14";"#007777";"FPH";"";"";"10,092";""
"15";"#E0E7EB";"FPH";"";"";"0,592";""
