variable,reference,modalite,cote,ic_bas,ic_haut,significatif,cote_ecrite
Sexe,Homme,Femme,0.985,0.745,1.302,0,1.0
Âge,<35 ans,35-44,1.238,0.896,1.711,0,1.2
Âge,<35 ans,45-54,1.805,1.287,2.531,1,1.8
Âge,<35 ans,>= 55 ans,1.369,0.912,2.055,0,1.4
Catégorie,A+,A,1.269,0.751,2.144,0,1.3
Catégorie,A+,B,1.585,0.9,2.791,0,1.6
Catégorie,A+,C,1.229,0.685,2.203,0,1.2
Encadrement,Non,Oui majo,0.845,0.621,1.148,0,0.8
Encadrement,Non,Oui mino,1.02,0.766,1.358,0,1.0
Statut,Titulaire ou assimilé,CDD,0.752,0.538,1.051,0,0.8
Statut,Titulaire ou assimilé,CDI,1.025,0.557,1.887,0,1.0
Taille établissement,100 ou moins,100 à 500,1.488,1.023,2.165,1,1.5
Taille établissement,100 ou moins,500 à 1000,1.118,0.686,1.822,0,1.1
Taille établissement,100 ou moins,1000 et plus,1.056,0.763,1.46,0,1.1
Syndicalisme,Ni adhérent·e ni sympathisant·e,Adhérent·e,1.542,1.168,2.035,1,1.5
Syndicalisme,Ni adhérent·e ni sympathisant·e,Sympathisant·e,1.249,0.888,1.756,0,1.2
Equilibre pro-perso,Oui ou plutôt oui,Non ou plutôt non,1.11,0.85,1.45,0,1.1
Télétravail,Jamais,<3j/semaine,1.256,0.961,1.64,0,1.3
Télétravail,Jamais,3j/s et +,1.007,0.446,2.274,0,1.0
Collègues en nombre suffisant,Oui,Non,1.418,1.095,1.837,1,1.4
Fréquence réunions d'équipe,>= 1 fois/mois,< 1 fois/mois,1.186,0.891,1.58,0,1.2
Accompagnement suffisant,Oui,Non,1.337,1.039,1.721,1,1.3
Turnover équipe,Comme il faut,Trop faible,1.328,0.884,1.995,0,1.3
Turnover équipe,Comme il faut,Trop important,1.667,1.244,2.234,1,1.7
Turnover hiérarchie,Comme il faut,Trop faible,2.345,1.635,3.363,1,2.3
Turnover hiérarchie,Comme il faut,Trop important,1.9,1.352,2.668,1,1.9
Aide collègues en cas difficultés,Oui ou plutôt oui,Non ou plutôt non,1.515,1.163,1.974,1,1.5
Aide hiérarchie en cas difficultés,Oui ou plutôt oui,Non ou plutôt non,1.43,1.115,1.836,1,1.4
Partage vision SP collègues,Oui ou plutôt oui,Non ou plutôt non,1.746,1.291,2.361,1,1.7
Partage vision SP hiérarchie,Oui ou plutôt oui,Non ou plutôt non,2.056,1.523,2.776,1,2.1
Désaccord exprimable collègues,Oui ou plutôt oui,Non ou plutôt non,2.58,1.645,4.046,1,2.6
Désaccord exprimable hiérarchie,Oui ou plutôt oui,Non ou plutôt non,1.846,1.387,2.457,1,1.8
Sacrifice qualité travail,Jamais ou parfois,Souvent ou très fréquemment,1.81,1.393,2.351,1,1.8
Développement compétences possible,Tout à fait ou plutôt d'accord,Pas du tout ou plutôt pas d'accord,1.56,1.211,2.009,1,1.6
Possibilité agir pour équité,Oui ou plutôt oui,Non ou plutôt non,1.205,0.939,1.546,0,1.2
Service d'intérêts particuliers,Jamais ou parfois,Souvent ou très fréquemment,2.046,1.578,2.652,1,2.0
A déjà enfreint un ordre hiérarchique,"Non, et je n’en jamais eu l’envie","Non, mais j’en ai déjà eu envie",1.44,1.031,2.013,1,1.4
A déjà enfreint un ordre hiérarchique,"Non, et je n’en jamais eu l’envie",Oui,1.102,0.746,1.626,0,1.1
