variable,reference,modalite,cote,ic_bas,ic_haut,significatif,cote_ecrite
Sexe,Homme,Femme,1.258,0.911,1.738,0,1.3
Âge,<35 ans,35-44,0.605,0.395,0.927,1,0.6
Âge,<35 ans,45-54,0.285,0.181,0.449,1,0.3
Âge,<35 ans,>= 55 ans,0.106,0.062,0.179,1,0.1
Catégorie,A+,A,1.486,0.861,2.562,0,1.5
Catégorie,A+,B,1.229,0.651,2.319,0,1.2
Catégorie,A+,C,1.2,0.61,2.362,0,1.2
Encadrement,Non,Oui majo,0.883,0.602,1.297,0,0.9
Encadrement,Non,Oui mino,0.992,0.71,1.386,0,1.0
Statut,Titulaire ou assimilé,CDD,0.99,0.628,1.559,0,1.0
Statut,Titulaire ou assimilé,CDI,1.267,0.675,2.379,0,1.3
Taille établissement,100 ou moins,100 à 500,1.273,0.83,1.954,0,1.3
Taille établissement,100 ou moins,500 à 1000,0.948,0.53,1.696,0,0.9
Taille établissement,100 ou moins,1000 et plus,1.323,0.896,1.952,0,1.3
Syndicalisme,Ni adhérent·e ni sympathisant·e,Adhérent·e,1.075,0.768,1.506,0,1.1
Syndicalisme,Ni adhérent·e ni sympathisant·e,Sympathisant·e,0.963,0.649,1.43,0,1.0
Equilibre pro-perso,Oui ou plutôt oui,Non ou plutôt non,2.394,1.596,3.591,1,2.4
Télétravail,Jamais,<3j/semaine,1.524,1.108,2.096,1,1.5
Télétravail,Jamais,3j/s et +,1.471,0.697,3.102,0,1.5
Collègues en nombre suffisant,Oui,Non,1.104,0.822,1.481,0,1.1
Fréquence réunions d'équipe,>= 1 fois/mois,< 1 fois/mois,0.79,0.556,1.121,0,0.8
Accompagnement suffisant,Oui,Non,1.616,1.202,2.174,1,1.6
Turnover équipe,Comme il faut,Trop faible,0.958,0.592,1.552,0,1.0
Turnover équipe,Comme il faut,Trop important,1.112,0.78,1.584,0,1.1
Turnover hiérarchie,Comme il faut,Trop faible,1.459,1.007,2.113,1,1.5
Turnover hiérarchie,Comme il faut,Trop important,1.505,0.996,2.274,0,1.5
Aide collègues en cas difficultés,Oui ou plutôt oui,Non ou plutôt non,1.449,1.063,1.974,1,1.4
Aide hiérarchie en cas difficultés,Oui ou plutôt oui,Non ou plutôt non,1.147,0.845,1.558,0,1.1
Partage vision SP collègues,Oui ou plutôt oui,Non ou plutôt non,1.338,0.929,1.927,0,1.3
Partage vision SP hiérarchie,Oui ou plutôt oui,Non ou plutôt non,1.606,1.051,2.453,1,1.6
Désaccord exprimable collègues,Oui ou plutôt oui,Non ou plutôt non,1.254,0.703,2.236,0,1.3
Désaccord exprimable hiérarchie,Oui ou plutôt oui,Non ou plutôt non,1.315,0.876,1.973,0,1.3
Sacrifice qualité travail,Jamais ou parfois,Souvent ou très fréquemment,2.65,1.856,3.785,1,2.7
Développement compétences possible,Tout à fait ou plutôt d'accord,Pas du tout ou plutôt pas d'accord,1.911,1.34,2.727,1,1.9
Possibilité agir pour équité,Oui ou plutôt oui,Non ou plutôt non,1.837,1.352,2.495,1,1.8
Service d'intérêts particuliers,Jamais ou parfois,Souvent ou très fréquemment,2.038,1.446,2.871,1,2.0
A déjà enfreint un ordre hiérarchique,"Non, et je n’en jamais eu l’envie","Non, mais j’en ai déjà eu envie",1.796,1.261,2.558,1,1.8
A déjà enfreint un ordre hiérarchique,"Non, et je n’en jamais eu l’envie",Oui,1.359,0.891,2.073,0,1.4
