variable,reference,modalite,cote,ic_bas,ic_haut,significatif,cote_ecrite
Sexe,Homme,Femme,1.134,0.846,1.52,0,1.1
Âge,<35 ans,35-44,0.955,0.676,1.349,0,1.0
Âge,<35 ans,45-54,0.969,0.68,1.38,0,1.0
Âge,<35 ans,>= 55 ans,0.902,0.581,1.401,0,0.9
Catégorie,A+,A,1.055,0.614,1.813,0,1.1
Catégorie,A+,B,1.073,0.602,1.913,0,1.1
Catégorie,A+,C,1.401,0.765,2.566,0,1.4
Encadrement,Non,Oui majo,0.711,0.515,0.981,1,0.7
Encadrement,Non,Oui mino,0.947,0.699,1.282,0,0.9
Statut,Titulaire ou assimilé,CDD,0.789,0.557,1.119,0,0.8
Statut,Titulaire ou assimilé,CDI,0.839,0.486,1.446,0,0.8
Taille établissement,100 ou moins,100 à 500,1.18,0.792,1.759,0,1.2
Taille établissement,100 ou moins,1000 et plus,1.072,0.75,1.531,0,1.1
Taille établissement,100 ou moins,500 à 1000,0.79,0.483,1.293,0,0.8
Syndicalisme,Ni adhérent·e ni sympathisant·e,Adhérent·e,1.394,1.042,1.865,1,1.4
Syndicalisme,Ni adhérent·e ni sympathisant·e,Sympathisant·e,1.388,0.968,1.991,0,1.4
Equilibre pro-perso,Oui ou plutôt oui,Non ou plutôt non,0.925,0.686,1.248,0,0.9
Télétravail,Jamais,<3j/semaine,1.443,1.097,1.899,1,1.4
Télétravail,Jamais,3j/s et +,1.724,0.832,3.572,0,1.7
Collègues en nombre suffisant,Oui,Non,1.198,0.921,1.559,0,1.2
Fréquence réunions d'équipe,>= 1 fois/mois,< 1 fois/mois,1.098,0.819,1.472,0,1.1
Accompagnement suffisant,Oui,Non,1.555,1.199,2.017,1,1.6
Turnover équipe,Comme il faut,Trop faible,0.94,0.615,1.439,0,0.9
Turnover équipe,Comme il faut,Trop important,1.757,1.302,2.371,1,1.8
Turnover hiérarchie,Comme il faut,Trop faible,2.465,1.695,3.584,1,2.5
Turnover hiérarchie,Comme il faut,Trop important,1.636,1.129,2.37,1,1.6
Aide collègues en cas difficultés,Oui ou plutôt oui,Non ou plutôt non,1.447,1.095,1.911,1,1.4
Aide hiérarchie en cas difficultés,Oui ou plutôt oui,Non ou plutôt non,1.232,0.951,1.596,0,1.2
Partage vision SP collègues,Oui ou plutôt oui,Non ou plutôt non,1.111,0.825,1.495,0,1.1
Partage vision SP hiérarchie,Oui ou plutôt oui,Non ou plutôt non,2.133,1.584,2.871,1,2.1
Désaccord exprimable collègues,Oui ou plutôt oui,Non ou plutôt non,2.18,1.313,3.621,1,2.2
Désaccord exprimable hiérarchie,Oui ou plutôt oui,Non ou plutôt non,1.661,1.233,2.239,1,1.7
Sacrifice qualité travail,Jamais ou parfois,Souvent ou très fréquemment,2.551,1.954,3.329,1,2.6
Développement compétences possible,Tout à fait ou plutôt d'accord,Pas du tout ou plutôt pas d'accord,2.512,1.923,3.282,1,2.5
Possibilité agir pour équité,Oui ou plutôt oui,Non ou plutôt non,1.502,1.158,1.949,1,1.5
Service d'intérêts particuliers,Jamais ou parfois,Souvent ou très fréquemment,1.889,1.443,2.472,1,1.9
A déjà enfreint un ordre hiérarchique,"Non, et je n’en jamais eu l’envie","Non, mais j’en ai déjà eu envie",1.44,0.998,2.079,0,1.4
A déjà enfreint un ordre hiérarchique,"Non, et je n’en jamais eu l’envie",Oui,0.885,0.58,1.35,0,0.9
