variable,reference,modalite,cote,ic_bas,ic_haut,significatif,cote_ecrite
Sexe,Homme,Femme,1.016,0.838,1.233,0,1.0
Âge,<35 ans,35-44,1.151,0.878,1.509,0,1.2
Âge,<35 ans,45-54,1.116,0.861,1.446,0,1.1
Âge,<35 ans,>= 55 ans,1.223,0.914,1.635,0,1.2
Catégorie,A+,A,1.39,1.075,1.797,1,1.4
Catégorie,A+,B,1.729,1.295,2.309,1,1.7
Catégorie,A+,C,1.793,1.261,2.55,1,1.8
Encadrement,Non,Oui majo,1.093,0.824,1.451,0,1.1
Encadrement,Non,Oui mino,1.224,0.969,1.546,0,1.2
Statut,Titulaire ou assimilé,CDD,0.887,0.598,1.314,0,0.9
Statut,Titulaire ou assimilé,CDI,0.806,0.557,1.165,0,0.8
Taille établissement,100 ou moins,100 à 500,1.137,0.889,1.455,0,1.1
Taille établissement,100 ou moins,1000 et plus,1.133,0.885,1.451,0,1.1
Taille établissement,100 ou moins,500 à 1000,1.219,0.856,1.734,0,1.2
Syndicalisme,Ni adhérent·e ni sympathisant·e,Adhérent·e,1.088,0.885,1.337,0,1.1
Syndicalisme,Ni adhérent·e ni sympathisant·e,Sympathisant·e,1.459,1.099,1.936,1,1.5
Equilibre pro-perso,Oui ou plutôt oui,Non ou plutôt non,1.679,1.336,2.111,1,1.7
Télétravail,Jamais,<3j/semaine,1.23,1.01,1.497,1,1.2
Télétravail,Jamais,3j/s et +,1.667,1.066,2.608,1,1.7
Collègues en nombre suffisant,Oui,Non,1.599,1.314,1.945,1,1.6
Fréquence réunions d'équipe,>= 1 fois/mois,< 1 fois/mois,1.144,0.947,1.383,0,1.1
Accompagnement suffisant,Oui,Non,1.541,1.272,1.866,1,1.5
Turnover équipe,Comme il faut,Trop faible,1.312,0.966,1.783,0,1.3
Turnover équipe,Comme il faut,Trop important,1.305,1.042,1.633,1,1.3
Turnover hiérarchie,Comme il faut,Trop faible,2.154,1.634,2.84,1,2.2
Turnover hiérarchie,Comme il faut,Trop important,1.954,1.54,2.478,1,2.0
Aide collègues en cas difficultés,Oui ou plutôt oui,Non ou plutôt non,1.318,1.067,1.629,1,1.3
Aide hiérarchie en cas difficultés,Oui ou plutôt oui,Non ou plutôt non,1.477,1.2,1.818,1,1.5
Partage vision SP collègues,Oui ou plutôt oui,Non ou plutôt non,0.969,0.766,1.226,0,1.0
Partage vision SP hiérarchie,Oui ou plutôt oui,Non ou plutôt non,2.135,1.703,2.677,1,2.1
Désaccord exprimable collègues,Oui ou plutôt oui,Non ou plutôt non,1.558,1.043,2.327,1,1.6
Désaccord exprimable hiérarchie,Oui ou plutôt oui,Non ou plutôt non,1.891,1.519,2.354,1,1.9
Sacrifice qualité travail,Jamais ou parfois,Souvent ou très fréquemment,2.249,1.829,2.766,1,2.2
Développement compétences possible,Tout à fait ou plutôt d'accord,Pas du tout ou plutôt pas d'accord,2.762,2.26,3.375,1,2.8
Possibilité agir pour équité,Oui ou plutôt oui,Non ou plutôt non,1.243,1.029,1.503,1,1.2
Service d'intérêts particuliers,Jamais ou parfois,Souvent ou très fréquemment,1.723,1.407,2.109,1,1.7
A déjà enfreint un ordre hiérarchique,"Non, et je n’en jamais eu l’envie","Non, mais j’en ai déjà eu envie",1.751,1.337,2.292,1,1.8
A déjà enfreint un ordre hiérarchique,"Non, et je n’en jamais eu l’envie",Oui,1.371,1.019,1.846,1,1.4
