variable,reference,modalite,cote,ic_bas,ic_haut,significatif,cote_ecrite
Sexe,Homme,Femme,0.745,0.477,1.163,0,0.7
Âge,<35 ans,35-44,1.298,0.827,2.037,0,1.3
Âge,<35 ans,45-54,1.072,0.651,1.763,0,1.1
Âge,<35 ans,>= 55 ans,1.395,0.816,2.386,0,1.4
Catégorie,A+,A,1.125,0.629,2.013,0,1.1
Catégorie,A+,B,1.331,0.653,2.711,0,1.3
Catégorie,A+,C,0.858,0.337,2.185,0,0.9
Encadrement,Non,Oui majo,1.199,0.713,2.017,0,1.2
Encadrement,Non,Oui mino,0.969,0.645,1.456,0,1.0
Statut,Titulaire ou assimilé,CDD,0.594,0.254,1.39,0,0.6
Statut,Titulaire ou assimilé,CDI,0.837,0.486,1.441,0,0.8
Taille établissement,100 ou moins,100 à 500,1.564,0.628,3.896,0,1.6
Taille établissement,100 ou moins,1000 et plus,1.751,0.8,3.834,0,1.8
Taille établissement,100 ou moins,500 à 1000,1.687,0.71,4.013,0,1.7
Syndicalisme,Ni adhérent·e ni sympathisant·e,Adhérent·e,0.974,0.654,1.449,0,1.0
Syndicalisme,Ni adhérent·e ni sympathisant·e,Sympathisant·e,1.125,0.704,1.799,0,1.1
Equilibre pro-perso,Oui ou plutôt oui,Non ou plutôt non,1.224,0.848,1.765,0,1.2
Télétravail,Jamais,<3j/semaine,1.189,0.779,1.815,0,1.2
Télétravail,Jamais,3j/s et +,5.135,1.426,7.0,1,5.1
Collègues en nombre suffisant,Oui,Non,1.979,1.349,2.902,1,2.0
Fréquence réunions d'équipe,>= 1 fois/mois,< 1 fois/mois,0.895,0.621,1.291,0,0.9
Accompagnement suffisant,Oui,Non,1.112,0.79,1.566,0,1.1
Turnover équipe,Comme il faut,Trop faible,1.373,0.717,2.627,0,1.4
Turnover équipe,Comme il faut,Trop important,1.801,1.206,2.688,1,1.8
Turnover hiérarchie,Comme il faut,Trop faible,1.636,0.901,2.97,0,1.6
Turnover hiérarchie,Comme il faut,Trop important,0.847,0.503,1.426,0,0.8
Aide collègues en cas difficultés,Oui ou plutôt oui,Non ou plutôt non,1.349,0.906,2.01,0,1.3
Aide hiérarchie en cas difficultés,Oui ou plutôt oui,Non ou plutôt non,1.076,0.751,1.542,0,1.1
Partage vision SP collègues,Oui ou plutôt oui,Non ou plutôt non,0.865,0.56,1.336,0,0.9
Partage vision SP hiérarchie,Oui ou plutôt oui,Non ou plutôt non,2.701,1.754,4.158,1,2.7
Désaccord exprimable collègues,Oui ou plutôt oui,Non ou plutôt non,2.091,1.048,4.17,1,2.1
Désaccord exprimable hiérarchie,Oui ou plutôt oui,Non ou plutôt non,2.307,1.581,3.367,1,2.3
Sacrifice qualité travail,Jamais ou parfois,Souvent ou très fréquemment,1.62,1.14,2.3,1,1.6
Développement compétences possible,Tout à fait ou plutôt d'accord,Pas du tout ou plutôt pas d'accord,3.998,2.797,5.715,1,4.0
Possibilité agir pour équité,Oui ou plutôt oui,Non ou plutôt non,1.579,1.102,2.262,1,1.6
Service d'intérêts particuliers,Jamais ou parfois,Souvent ou très fréquemment,1.841,1.244,2.723,1,1.8
A déjà enfreint un ordre hiérarchique,"Non, et je n’en jamais eu l’envie","Non, mais j’en ai déjà eu envie",2.209,1.213,4.025,1,2.2
A déjà enfreint un ordre hiérarchique,"Non, et je n’en jamais eu l’envie",Oui,2.699,1.448,5.029,1,2.7
