"";"v1";"v2";"eff";"total_v2";"pct";"couleur_texte"
"1";"#007777";"FPE";"";"";"20,746";""
"2";"#DE9B58";"FPE";"";"";"47,990";""
"3";"#C24146";"FPE";"";"";"7,897";""
"4";"#E0E7EB";"FPE";"";"";"23,367";""
"5";"#007777";"FPT";"";"";"23,822";""
"6";"#DE9B58";"FPT";"";"";"47,470";""
"7";"#C24146";"FPT";"";"";"7,897";""
"8";"#E0E7EB";"FPT";"";"";"20,811";""
"9";"#007777";"FPH";"";"";"13,189";""
"10";"#DE9B58";"FPH";"";"";"59,046";""
"11";"#C24146";"FPH";"";"";"8,576";""
"12";"#E0E7EB";"FPH";"";"";"19,189";""
