"";"v1";"v2";"eff";"total_v2";"pct";"couleur_texte"
"1";"#C24146";"A+";"";"";"3,806";""
"2";"#DF6263";"A+";"";"";"8,306";""
"3";"#EBBF95";"A+";"";"";"32,065";""
"4";"#007777";"A+";"";"";"54,438";""
"5";"#E0E7EB";"A+";"";"";"1,386";""
"6";"#DF6263";"A";"";"";"10,926";""
"7";"#EBBF95";"A";"";"";"37,131";""
"8";"#007777";"A";"";"";"50,751";""
"9";"#E0E7EB";"A";"";"";"1,192";""
"10";"#C24146";"B";"";"";"7,931";""
"11";"#DF6263";"B";"";"";"11,154";""
"12";"#EBBF95";"B";"";"";"31,041";""
"13";"#007777";"B";"";"";"48,113";""
"14";"#E0E7EB";"B";"";"";"1,761";""
"15";"#C24146";"C";"";"";"9,617";""
"16";"#DF6263";"C";"";"";"11,250";""
"17";"#EBBF95";"C";"";"";"31,305";""
"18";"#007777";"C";"";"";"45,749";""
"19";"#E0E7EB";"C";"";"";"2,079";""
"20";"#C24146";"Autre";"";"";"5,881";""
"21";"#DF6263";"Autre";"";"";"19,608";""
"22";"#EBBF95";"Autre";"";"";"34,640";""
"23";"#007777";"Autre";"";"";"35,295";""
"24";"#E0E7EB";"Autre";"";"";"4,576";""
