"";"v1";"v2";"eff";"total_v2";"pct";"couleur_texte"
"1";"#C24146";"A+";"";"";"8,312";""
"2";"#DF6263";"A+";"";"";"15,037";""
"3";"#EBBF95";"A+";"";"";"50,487";""
"4";"#007777";"A+";"";"";"24,695";""
"5";"#E0E7EB";"A+";"";"";"1,469";""
"6";"#C24146";"A";"";"";"14,031";""
"7";"#DF6263";"A";"";"";"23,424";""
"8";"#EBBF95";"A";"";"";"42,471";""
"9";"#007777";"A";"";"";"17,887";""
"10";"#E0E7EB";"A";"";"";"2,187";""
"11";"#C24146";"B";"";"";"16,130";""
"12";"#DF6263";"B";"";"";"21,452";""
"13";"#EBBF95";"B";"";"";"38,201";""
"14";"#007777";"B";"";"";"18,533";""
"15";"#E0E7EB";"B";"";"";"5,684";""
"16";"#C24146";"C";"";"";"16,961";""
"17";"#DF6263";"C";"";"";"19,783";""
"18";"#EBBF95";"C";"";"";"34,835";""
"19";"#007777";"C";"";"";"19,861";""
"20";"#E0E7EB";"C";"";"";"8,559";""
"21";"#C24146";"Autre";"";"";"13,415";""
"22";"#DF6263";"Autre";"";"";"15,853";""
"23";"#EBBF95";"Autre";"";"";"36,583";""
"24";"#007777";"Autre";"";"";"25,612";""
"25";"#E0E7EB";"Autre";"";"";"8,537";""
