item;serie;valeur;couleur
Oui, avec d’autres collègues;FPH;48;#554C9F
Oui, avec d’autres collègues;FPT;44;#83BE76
Oui, avec d’autres collègues;FPE;46;#E08DBC
Oui, de façon informelle avec supérieur direct;FPH;23;#554C9F
Oui, de façon informelle avec supérieur direct;FPT;33;#83BE76
Oui, de façon informelle avec supérieur direct;FPE;28;#E08DBC
Oui, à l’occasion d’échanges formalisés avec supérieur direct;FPH;20;#554C9F
Oui, à l’occasion d’échanges formalisés avec supérieur direct;FPT;31;#83BE76
Oui, à l’occasion d’échanges formalisés avec supérieur direct;FPE;23;#E08DBC
Non;FPH;23;#554C9F
Non;FPT;19;#83BE76
Non;FPE;23;#E08DBC
Oui, en m’adressant aux syndicats;FPH;21;#554C9F
Oui, en m’adressant aux syndicats;FPT;15;#83BE76
Oui, en m’adressant aux syndicats;FPE;20;#E08DBC
Oui, en m’adressant à un niveau hiérarchique plus élevé;FPH;7;#554C9F
Oui, en m’adressant à un niveau hiérarchique plus élevé;FPT;8;#83BE76
Oui, en m’adressant à un niveau hiérarchique plus élevé;FPE;9;#E08DBC
Oui, en m’adressant aux ressources humaines;FPH;4;#554C9F
Oui, en m’adressant aux ressources humaines;FPT;6;#83BE76
Oui, en m’adressant aux ressources humaines;FPE;4;#E08DBC
Oui, autre;FPH;5;#554C9F
Oui, autre;FPT;5;#83BE76
Oui, autre;FPE;5;#E08DBC
