"";"v1";"v2";"eff";"total_v2";"pct";"couleur_texte"
"1";"#007777";"Oui";"";"";"20,970";""
"2";"#32C2C2";"Oui";"";"";"46,686";""
"3";"#EBBF95";"Oui";"";"";"20,243";""
"4";"#C24146";"Oui";"";"";"7,596";""
"5";"#E0E7EB";"Oui";"";"";"4,506";""
"6";"#007777";"Plutôt oui";"";"";"8,292";""
"7";"#32C2C2";"Plutôt oui";"";"";"48,902";""
"8";"#EBBF95";"Plutôt oui";"";"";"29,238";""
"9";"#C24146";"Plutôt oui";"";"";"7,298";""
"10";"#E0E7EB";"Plutôt oui";"";"";"6,271";""
"11";"#007777";"Plutôt non";"";"";"2,479";""
"12";"#32C2C2";"Plutôt non";"";"";"30,817";""
"13";"#EBBF95";"Plutôt non";"";"";"43,189";""
"14";"#C24146";"Plutôt non";"";"";"16,841";""
"15";"#E0E7EB";"Plutôt non";"";"";"6,675";""
"16";"#007777";"Non";"";"";"2,839";""
"17";"#32C2C2";"Non";"";"";"16,978";""
"18";"#EBBF95";"Non";"";"";"41,851";""
"19";"#C24146";"Non";"";"";"32,086";""
"20";"#E0E7EB";"Non";"";"";"6,245";""
