"";"v1";"v2";"eff";"total_v2";"pct";"couleur_texte"
"1";"#007777";"Oui tâche principale";"";"";"20,703";""
"2";"#DE9B58";"Oui tâche principale";"";"";"25,777";""
"3";"#C24146";"Oui tâche principale";"";"";"47,130";""
"4";"#E0E7EB";"Oui tâche principale";"";"";"6,391";""
"5";"#007777";"Oui tâche secondaire";"";"";"12,739";""
"6";"#DE9B58";"Oui tâche secondaire";"";"";"21,184";""
"7";"#C24146";"Oui tâche secondaire";"";"";"66,077";""
"8";"#007777";"Non";"";"";"10,593";""
"9";"#DE9B58";"Non";"";"";"20,943";""
"10";"#C24146";"Non";"";"";"61,585";""
"11";"#E0E7EB";"Non";"";"";"6,879";""
