"";"v1";"v2";"eff";"total_v2";"pct";"couleur_texte"
"1";"#007777";"[0;2[";"";"";"7,825";""
"2";"#32C2C2";"[0;2[";"";"";"16,610";""
"3";"#EBBF95";"[0;2[";"";"";"26,391";""
"4";"#C24146";"[0;2[";"";"";"34,700";""
"5";"#E0E7EB";"[0;2[";"";"";"14,473";""
"6";"#007777";"[3;9[";"";"";"5,284";""
"7";"#32C2C2";"[3;9[";"";"";"14,805";""
"8";"#EBBF95";"[3;9[";"";"";"28,391";""
"9";"#C24146";"[3;9[";"";"";"44,438";""
"10";"#E0E7EB";"[3;9[";"";"";"7,081";""
"11";"#007777";"[10;19[";"";"";"3,234";""
"12";"#32C2C2";"[10;19[";"";"";"10,431";""
"13";"#EBBF95";"[10;19[";"";"";"31,379";""
"14";"#C24146";"[10;19[";"";"";"49,354";""
"15";"#E0E7EB";"[10;19[";"";"";"5,602";""
"16";"#007777";"[20;+[";"";"";"5,291";""
"17";"#32C2C2";"[20;+[";"";"";"10,222";""
"18";"#EBBF95";"[20;+[";"";"";"28,557";""
"19";"#C24146";"[20;+[";"";"";"48,278";""
"20";"#E0E7EB";"[20;+[";"";"";"7,652";""
