"";"v1";"v2";"eff";"total_v2";"pct";"couleur_texte"
"1";"#C24146";"FPE";"";"";"7,214";""
"2";"#DF6263";"FPE";"";"";"11,562";""
"3";"#EBBF95";"FPE";"";"";"32,389";""
"4";"#007777";"FPE";"";"";"46,903";""
"5";"#E0E7EB";"FPE";"";"";"1,932";""
"6";"#C24146";"FPT";"";"";"8,164";""
"7";"#DF6263";"FPT";"";"";"11,230";""
"8";"#EBBF95";"FPT";"";"";"33,454";""
"9";"#007777";"FPT";"";"";"45,908";""
"10";"#E0E7EB";"FPT";"";"";"1,244";""
"11";"#C24146";"FPH";"";"";"3,712";""
"12";"#DF6263";"FPH";"";"";"6,289";""
"13";"#EBBF95";"FPH";"";"";"32,754";""
"14";"#007777";"FPH";"";"";"56,324";""
"15";"#E0E7EB";"FPH";"";"";"0,921";""
