famille,palier,hex,C,M,Y,K,hex epreuve,dE2000
prairie,350,#6FB160,62,6,77,0,#70B15F,0.3
prairie,400,#5FA350,67,13,85,1,#5FA24F,0.3
prairie,450,#529543,72,19,91,4,#529542,0.2
prairie,500,#468737,75,24,97,9,#478837,0.4
prairie,550,#3B782D,78,30,100,16,#3D7830,0.5
prairie,600,#336A26,80,34,100,25,#366B2D,1.3
prairie,650,#2B5B20,82,39,100,36,#2D5B28,1.8
prairie,700,#254D1C,83,44,100,47,#284D22,1.5
prairie,750,#1F3F18,83,49,98,58,#233F1D,1.6
prairie,800,#1A3115,82,54,88,68,#1F311B,2.6
prairie,850,#162412,80,60,80,78,#1A2417,2.9
prairie,900,#10170F,79,65,71,86,#121710,1.1
prairie,950,#0B0B0B,81,73,62,91,#0C0B0B,0.4
ambre,50,#FCF3EC,1,6,8,0,#FCF3EB,0.5
ambre,100,#F7E2CF,3,14,21,0,#F8E1CE,0.8
ambre,150,#F1D0B2,5,22,33,0,#F3D0B1,0.6
ambre,200,#EBBF95,7,29,45,0,#EDBF94,0.5
ambre,250,#E5AD77,9,37,58,1,#E7AD76,0.5
ambre,300,#DE9B58,11,44,71,2,#DF9B56,0.4
ambre,350,#D58A37,14,51,85,3,#D68A36,0.2
ambre,400,#C77C1F,18,55,96,7,#C77B1C,0.3
ambre,450,#B86E02,22,59,100,13,#B86E14,1.4
ambre,500,#A66200,26,61,100,20,#A76315,1.9
ambre,550,#945700,29,63,100,29,#955814,2.1
ambre,600,#824C00,32,65,100,38,#834D12,2.3
ambre,650,#714100,36,67,100,48,#714210,2.4
ambre,700,#603700,40,67,98,57,#5F390F,2.4
ambre,750,#4F2D01,45,68,91,66,#4D2F12,3.4
ambre,800,#3D2407,51,68,83,75,#3C2612,2.5
ambre,850,#2C1C0B,58,68,76,82,#2B1D11,1.8
ambre,900,#1B130C,67,70,68,88,#1B130D,0.5
ambre,950,#0B0B0B,81,73,62,91,#0C0B0B,0.4
